Difficulty,Models,Size,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13
Hard,GPT 4o,-,18.11,21.33,16.00,26.00,22.00,14.67,12.00,30.00,2.00,18.33,5.00,35.00,15.00
Hard,Gemini 1.5 pro 🥇,-,22.34,26.67,24.00,26.00,30.00,18.67,20.00,22.00,14.00,21.67,10.00,25.00,30.00
Hard,InternVL2.5,26B,17.33,19.33,24.00,26.00,10.00,19.33,16.00,32.00,10.00,13.33,10.00,10.00,20.00
Hard,InternVL2.5,8B,18.22,18.67,20.00,28.00,8.00,19.33,16.00,30.00,12.00,16.67,5.00,35.00,10.00
Hard,InternVL2.5,4B,15.33,15.33,14.00,10.00,22.00,14.00,16.00,18.00,8.00,16.67,15.00,30.00,5.00
Hard,LLaVA Next,32B,17.89,18.67,14.0,34.0,8.0,16.67,6.0,32.0,12.0,18.33,5.0,40.0,10.0
Hard,LLaVA Video,7B,14.78,16.67,14.00,28.00,8.00,12.67,6.00,22.00,10.00,15.00,5.00,30.00,10.00
Hard,LLaVA OneVision,7B,15.67,16.00,12.00,28.00,8.00,16.00,12.00,26.00,10.00,15.00,10.00,25.00,10.00
Hard,Qwen2.5 VL,32B,16.22,20.00,6.00,36.00,18.00,15.33,4.00,24.00,18.00,13.33,0.00,30.00,10.00
Hard,Qwen2.5 VL,7B,16.55,19.33,0.00,30.00,28.00,15.33,2.00,30.00,14.00,15.00,5.00,30.00,10.00
Hard,Qwen2.5 VL,3B,15.33,16.00,8.00,32.00,8.00,13.33,6.00,26.00,8.00,16.67,10.00,25.00,15.00
Hard,,,,,,,,,,,,,,,
Medium,GPT 4o,-,38.45,38.67,38.00,56.00,22.00,30.00,38.00,34.00,18.00,46.67,65.00,30.00,45.00
Medium,Gemini 1.5 pro 🥇,-,38.78,38.00,32.00,48.00,34.00,36.67,34.00,52.00,24.00,41.67,30.00,55.00,40.00
Medium,InternVL2.5,26B,28.67,31.33,28.00,58.00,8.00,24.67,12.00,50.00,12.00,30.00,25.00,45.00,20.00
Medium,InternVL2.5,8B,34.33,30.00,20.00,58.00,12.00,34.67,32.00,50.00,22.00,38.33,40.00,45.00,30.00
Medium,InternVL2.5,4B,32.22,29.33,28.00,44.00,16.00,34.00,30.00,54.00,18.00,33.33,35.00,40.00,25.00
Medium,LLaVA Next,32B,26.11,24.67,18.0,40.0,16.0,25.33,18.0,40.0,18.0,28.33,25.0,40.0,20.0
Medium,LLaVA Video,7B,24.00,25.33,24.00,36.00,16.00,20.00,16.00,26.00,18.00,26.67,15.00,45.00,20.00
Medium,LLaVA OneVision,7B,23.67,23.33,20.00,34.00,16.00,22.67,20.00,32.00,16.00,25.00,20.00,35.00,20.00
Medium,Qwen2.5 VL,32B,33.34,32.67,12.00,48.00,38.00,30.67,22.00,50.00,20.00,36.67,20.00,60.00,30.00
Medium,Qwen2.5 VL,7B,28.00,24.67,16.00,24.00,34.00,26.00,24.00,26.00,28.00,33.33,35.00,20.00,45.00
Medium,Qwen2.5 VL,3B,28.67,22.67,18.00,36.00,14.00,26.67,18.00,44.00,18.00,36.67,40.00,35.00,35.00
Medium,,,,,,,,,,,,,,,
Easy,GPT 4o,-,40.67,35.33,30.00,28.00,48.00,36.67,24.00,38.00,48.00,50.00,45.00,50.00,55.00
Easy,Gemini 1.5 pro,-,43.00,45.33,36.00,44.00,56.00,42.00,48.00,32.00,46.00,41.67,35.00,50.00,40.00
Easy,InternVL2.5,26B,36.11,35.33,36.00,44.00,26.00,34.67,28.00,46.00,30.00,38.33,30.00,40.00,45.00
Easy,InternVL2.5,8B,38.44,36.67,28.00,46.00,36.00,35.33,32.00,42.00,32.00,43.33,60.00,40.00,30.00
Easy,InternVL2.5,4B,40.33,43.33,42.00,50.00,38.00,39.33,30.00,44.00,44.00,38.33,35.00,60.00,20.00
Easy,LLaVA Next,32B,33.22,36.67,36.00,42.0,32.0,31.33,36.0,32.0,26.0,31.67,35.0,30.0,30.0
Easy,LLaVA Video,7B,33.22,33.33,34.00,38.00,28.00,34.67,34.00,38.00,32.00,31.67,35.00,30.00,30.00
Easy,LLaVA OneVision,7B,33.22,33.33,34.00,38.00,28.00,34.67,34.00,38.00,32.00,31.67,35.00,30.00,30.00
Easy,Qwen2.5 VL 🥇,32B,52.45,50.00,34.00,56.00,60.00,50.67,40.00,54.00,58.00,56.67,55.00,60.00,55.00
Easy,Qwen2.5 VL,7B,39.89,33.33,28.00,18.00,54.00,38.00,48.00,16.00,50.00,48.33,55.00,30.00,60.00
Easy,Qwen2.5 VL,3B,43.67,43.33,36.00,52.00,42.00,42.67,38.00,54.00,36.00,45.00,40.00,50.00,45.00
