Difficulty,Models,Size,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13
Hard,GPT 4o 🥇,-,21.68,26.12,31.89,28.63,17.87,20.59,22.79,24.54,14.46,7.33,2.75,15.25,4.0
Hard,Gemini 1.5 pro,-,23.29,25.06,23.48,26.98,24.71,23.36,30.33,19.98,19.77,8.42,3.0,12.75,9.5
Hard,InternVL2.5,26B,21.55,21.7,20.19,23.87,21.56,23.83,24.5,30.0,17.0,7.83,6.5,8.5,8.5
Hard,InternVL2.5,8B,21.17,20.56,13.35,28.71,19.63,23.33,23.5,29.0,17.5,8.67,5.25,15.75,5.0
Hard,InternVL2.5,4B,19.19,18.76,17.62,19.12,19.04,21.16,20.5,23.5,19.5,7.17,5.75,13.0,2.75
Hard,LLaVA Next,32B,15.72,15.61,11.35,26.12,9.35,14.66,8.5,26.0,9.5,8.75,3.75,17.5,5.0
Hard,LLaVA Video,7B,15.64,17.34,14.19,27.29,10.52,15.0,12.0,23.0,10.0,7.58,3.75,14.5,4.5
Hard,LLaVA OneVision,7B,15.17,15.92,10.02,27.21,10.52,15.0,11.5,22.5,11.0,6.75,4.0,11.75,4.5
Hard,Qwen2.5 VL,32B,16.41,16.88,8.1,29.04,13.52,19.0,16.5,24.0,16.5,6.67,1.0,14.0,5.0
Hard,Qwen2.5 VL,7B,17.2,19.66,8.1,30.38,20.52,17.66,13.5,27.5,12.0,6.92,1.75,15.0,4.0
Hard,Qwen2.5 VL,3B,16.7,18.09,13.94,25.87,14.44,16.0,17.0,24.0,7.0,8.84,5.0,14.75,6.75
Hard,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Medium,GPT 4o 🥇,-,38.11,42.2,46.62,54.67,25.29,33.31,37.92,39.17,22.83,19.5,22.25,18.5,17.75
Medium,Gemini 1.5 pro,-,41.33,46.28,41.68,55.19,42.0,36.94,33.83,48.06,28.91,17.59,10.5,26.75,15.5
Medium,InternVL2.5,26B,36.83,39.27,32.13,55.84,29.82,34.67,27.5,52.5,24.0,15.67,13.75,21.25,12.0
Medium,InternVL2.5,8B,37.78,39.91,33.06,59.52,27.16,35.5,35.5,54.0,17.0,17.41,16.5,22.25,13.5
Medium,InternVL2.5,4B,38.7,41.61,28.04,56.94,39.84,36.67,32.5,50.5,27.0,15.66,12.75,21.5,12.75
Medium,LLaVA Next,32B,21.96,24.54,14.27,41.48,17.87,18.34,13.0,27.5,14.5,12.58,10.25,19.0,8.5
Medium,LLaVA Video,7B,23.38,22.84,20.62,30.96,18.19,23.84,23.0,28.5,20.0,12.5,7.25,21.25,9.0
Medium,LLaVA OneVision,7B,21.36,21.37,21.12,31.38,17.62,20.34,16.5,27.0,17.5,11.08,8.0,16.25,9.0
Medium,Qwen2.5 VL,32B,32.13,32.56,17.87,48.0,31.81,32.0,25.5,45.0,25.5,15.17,7.0,25.0,13.5
Medium,Qwen2.5 VL,7B,26.52,30.66,22.87,31.88,37.23,23.51,23.0,29.5,18.0,13.33,12.75,11.5,15.75
Medium,Qwen2.5 VL,3B,28.91,30.83,24.29,48.92,19.27,26.17,21.0,40.5,17.0,15.67,15.5,17.75,13.75
Medium,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Easy,GPT 4o,-,45.97,50.77,51.09,43.77,57.44,42.62,52.73,37.73,37.42,19.25,22.25,13.75,21.75
Easy,Gemini 1.5 pro,-,47.59,50.45,45.16,54.27,51.92,44.14,49.25,40.39,42.75,22.92,23.25,23.5,22.0
Easy,InternVL2.5 🥇,26B,49.69,56.13,57.19,54.59,56.62,43.0,46.5,47.5,35.0,22.41,23.0,25.5,18.75
Easy,InternVL2.5,8B,48.87,53.22,55.37,49.58,54.69,43.34,45.5,48.0,36.5,23.33,28.5,26.0,15.5
Easy,InternVL2.5,4B,48.24,52.37,48.92,56.34,51.84,44.83,45.5,48.5,40.5,20.58,19.75,27.0,15.0
Easy,LLaVA Next,32B,33.91,37.26,31.21,48.67,31.88,30.16,27.0,30.5,33.0,16.59,13.75,20.0,16.0
Easy,LLaVA Video,7B,31.68,32.6,31.38,34.56,31.88,32.0,29.0,37.5,29.5,14.92,12.75,15.5,16.5
Easy,LLaVA OneVision,7B,32.25,32.99,33.56,35.06,30.38,31.01,29.0,36.0,28.0,16.25,15.75,16.5,16.5
Easy,Qwen2.5 VL,32B,50.31,56.02,49.92,57.27,60.87,45.0,41.5,50.0,43.5,23.5,21.75,26.0,22.75
Easy,Qwen2.5 VL,7B,35.8,38.47,39.98,24.62,50.83,32.5,38.0,25.5,34.0,20.75,22.25,14.5,25.5
Easy,Qwen2.5 VL,3B,41.53,43.03,35.81,49.83,43.48,39.67,37.0,46.0,36.0,21.75,19.0,26.0,20.25
