Difficulty,Models,Size,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13
Hard,GPT 4o 🥇,-,24.41,26.78,34.65,34.69,11,35.70,43.14,32.14,31.82,11.00,6,26,1
Hard,Gemini 1.5 pro,-,18.76,19.72,23.76,20.41,15,24.55,33.33,16.07,24.24,12.00,2,26,8
Hard,InternVL2.5,26B,23.78,21.33,26.0,31.0,7.0,32.00,46.0,32.0,18.0,18.00,16.0,24.0,14.0
Hard,InternVL2.5,8B,22.67,20.00,18.0,33.0,9.0,30.00,46.0,30.0,14.0,18.00,16.0,28.0,10.0
Hard,InternVL2.5,4B,19.56,18.67,18.0,28.0,8.0,28.00,34.0,24.0,26.0,12.00,8.0,22.0,6.0
Hard,LLaVA Next,32B,16.22,20.67,16.0,32.0,14.0,11.33,12.0,12.0,10.0,16.67,10.0,30.0,10.0
Hard,LLaVA Video,7B,19.78,19.33,12.0,35.0,11.0,24.67,26.0,30.0,18.0,15.33,10.0,28.0,8.0
Hard,LLaVA OneVision,7B,13.67,14.33,5.0,27.0,11.0,14.67,18.0,8.0,18.0,12.0,6.0,22.0,8.0
Hard,Qwen2.5 VL,32B,22.66,19.33,11.0,34.0,13.0,35.33,46.0,24.0,36.0,13.33,4.0,26.0,10.0
Hard,Qwen2.5 VL,7B,22.89,26.00,17.0,30.0,31.0,30.00,40.0,32.0,18.0,12.67,2.0,30.0,6.0
Hard,Qwen2.5 VL,3B,22.78,23.00,17.0,33.0,19.0,26.67,38.0,26.0,16.0,18.67,10.0,34.0,12.0
Hard,,,,,,,,,,,,,,,
Medium,GPT 4o 🥇,-,36.99,45.49,48.48,55,33,33.89,41.67,26.67,33.33,31.33,24,44,26
Medium,Gemini 1.5 pro,-,33.89,39.47,42.42,42,34,33.52,33.33,42.22,25,28.67,12,52,22
Medium,InternVL2.5,26B,35.11,36.00,39.0,50.0,19.0,36.67,50.0,36.0,24.0,32.67,30.0,40.0,28.0
Medium,InternVL2.5,8B,34.66,37.33,43.0,57.0,12.0,35.33,42.0,46.0,18.0,31.33,26.0,44.0,24.0
Medium,InternVL2.5,4B,33.89,39.67,38.0,53.0,28.0,32.67,44.0,28.0,26.0,29.33,16.0,46.0,26.0
Medium,LLaVA Next,32B,20.0,27.33,16.0,49.0,17.0,10.67,14.0,10.0,8.0,22.0,16.0,36.0,14.0
Medium,LLaVA Video,7B,25.67,25.00,20.0,34.0,26.0,28.67,36.0,28.0,22.0,23.33,14.0,40.0,16.0
Medium,LLaVA OneVision,7B,16.67,16.00,26.0,30.0,16.0,14.67,18.0,8.0,18.0,19.33,12.0,30.0,16.0
Medium,Qwen2.5 VL,32B,28.55,28.33,21.0,44.0,20.0,33.33,40.0,30.0,30.0,24.00,8.0,40.0,24.0
Medium,Qwen2.5 VL,7B,29.89,39.00,37.0,42.0,38.0,30.67,32.0,40.0,20.0,20.00,16.0,26.0,18.0
Medium,Qwen2.5 VL,3B,30.78,41.67,33.0,52.0,40.0,24.67,30.0,30.0,14.0,26.00,22.0,36.0,20.0
Medium,,,,,,,,,,,,,,,
Easy,GPT 4o,-,42.17,52.35,59,47.06,51,47.16,54.9,44.9,41.67,27.00,44,5,32
Easy,Gemini 1.5 pro,-,46.00,51.33,60,50,44,36.92,49.02,36.73,25,50.00,58,44,48
Easy,InternVL2.5 🥇,26B,52.55,61.00,62.0,59.0,62.0,45.33,58.0,44.0,34.0,51.33,62.0,62.0,30.0
Easy,InternVL2.5,8B,50.11,55.67,55.0,60.0,52.0,44.67,58.0,42.0,34.0,50.00,54.0,64.0,32.0
Easy,InternVL2.5,4B,44.89,53.33,46.0,60.0,54.0,37.33,48.0,38.0,26.0,44.00,44.0,48.0,40.0
Easy,LLaVA Next,32B,31.25,38.00,35.0,45.0,34.0,21.33,12.0,14.0,38.0,34.67,20.0,50.0,34.0
Easy,LLaVA Video,7B,31.44,33.00,30.0,31.0,38.0,33.33,38.0,36.0,26.0,28.00,16.0,32.0,36.0
Easy,LLaVA OneVision,7B,29.78,32.00,31.0,33.0,32.0,24.00,26.0,30.0,16.0,33.33,28.0,36.0,36.0
Easy,Qwen2.5 VL,32B,43.22,51.00,58.0,50.0,45.0,41.33,46.0,38.0,40.0,37.33,32.0,44.0,36.0
Easy,Qwen2.5 VL,7B,40.67,51.33,55.0,42.0,57.0,36.00,32.0,42.0,34.0,34.67,34.0,28.0,42.0
Easy,Qwen2.5 VL,3B,42.00,49.33,38.0,55.0,55.0,34.67,42.0,34.0,28.0,42.00,36.0,54.0,36.0
