Difficulty,Models,Size,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13
Hard,GPT 4o 🥇,-,21.26,24.05,25.32,30.34,16.50,25.19,27.57,31.07,16.91,14.66,5.50,30.50,8.00
Hard,Gemini 1.5 pro,-,20.55,23.20,23.88,23.20,22.50,21.61,26.66,19.04,19.12,16.84,6.00,25.50,19.00
Hard,InternVL2.5,26B,20.55,20.33,25.00,28.50,8.50,25.66,31.00,32.00,14.00,15.66,13.00,17.00,17.00
Hard,InternVL2.5,8B,20.45,19.34,19.00,30.50,8.50,24.66,31.00,30.00,13.00,17.34,10.50,31.50,10.00
Hard,InternVL2.5,4B,17.45,17.00,16.00,19.00,15.00,21.00,25.00,21.00,17.00,14.34,11.50,26.00,5.50
Hard,LLaVA Next,32B,17.05,19.67,15.00,33.00,11.00,14.00,9.00,22.00,11.00,17.50,7.50,35.00,10.00
Hard,LLaVA Video,7B,17.28,18.00,13.00,31.50,9.50,18.67,16.00,26.00,14.00,15.16,7.50,29.00,9.00
Hard,LLaVA OneVision,7B,14.67,15.16,8.50,27.50,9.50,15.34,15.00,17.00,14.00,13.50,8.00,23.50,9.00
Hard,Qwen2.5 VL,32B,19.44,19.66,8.50,35.00,15.50,25.33,25.00,24.00,27.00,13.33,2.00,28.00,10.00
Hard,Qwen2.5 VL,7B,19.72,22.66,8.50,30.00,29.50,22.66,21.00,31.00,16.00,13.84,3.50,30.00,8.00
Hard,Qwen2.5 VL,3B,19.05,19.50,12.50,32.50,13.50,20.00,22.00,26.00,12.00,17.67,10.00,29.50,13.50
Hard,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Medium,GPT 4o 🥇,-,37.72,42.08,43.24,55.50,27.50,31.95,39.84,30.34,25.66,39.00,44.50,37.00,35.50
Medium,Gemini 1.5 pro,-,36.34,38.73,37.21,45.00,34.00,35.09,33.66,47.11,24.50,35.17,21.00,53.50,31.00
Medium,InternVL2.5,26B,31.89,33.66,33.50,54.00,13.50,30.67,31.00,43.00,18.00,31.34,27.50,42.50,24.00
Medium,InternVL2.5,8B,34.49,33.66,31.50,57.50,12.00,35.00,37.00,48.00,20.00,34.83,33.00,44.50,27.00
Medium,InternVL2.5,4B,33.05,34.50,33.00,48.50,22.00,33.34,37.00,41.00,22.00,31.33,25.50,43.00,25.50
Medium,LLaVA Next,32B,23.05,26.00,17.00,44.50,16.50,18.00,16.00,25.00,13.00,25.16,20.50,38.00,17.00
Medium,LLaVA Video,7B,24.84,25.16,22.00,35.00,21.00,24.34,26.00,27.00,20.00,25.00,14.50,42.50,18.00
Medium,LLaVA OneVision,7B,20.17,19.66,23.00,32.00,16.00,18.67,19.00,20.00,17.00,22.16,16.00,32.50,18.00
Medium,Qwen2.5 VL,32B,30.95,30.50,16.50,46.00,29.00,32.00,31.00,40.00,25.00,30.34,14.00,50.00,27.00
Medium,Qwen2.5 VL,7B,28.95,31.84,26.50,33.00,36.00,28.34,28.00,33.00,24.00,26.66,25.50,23.00,31.50
Medium,Qwen2.5 VL,3B,29.73,32.17,25.50,44.00,27.00,25.67,24.00,37.00,16.00,31.34,31.00,35.50,27.50
Medium,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Easy,GPT 4o,-,41.42,43.84,44.50,37.53,49.50,41.91,39.45,41.45,44.84,38.50,44.50,27.50,43.50
Easy,Gemini 1.5 pro,-,44.50,48.33,48.00,47.00,50.00,39.46,48.51,34.36,35.50,45.84,46.50,47.00,44.00
Easy,InternVL2.5 🥇,26B,44.33,48.16,49.00,51.50,44.00,40.00,43.00,45.00,32.00,44.83,46.00,51.00,37.50
Easy,InternVL2.5,8B,44.27,46.17,41.50,53.00,44.00,40.00,45.00,42.00,33.00,46.66,57.00,52.00,31.00
Easy,InternVL2.5,4B,42.61,48.33,44.00,55.00,46.00,38.33,39.00,41.00,35.00,41.16,39.50,54.00,30.00
Easy,LLaVA Next,32B,32.23,37.34,35.50,43.50,33.00,26.33,24.00,23.00,32.00,33.17,27.50,40.00,32.00
Easy,LLaVA Video,7B,32.33,33.16,32.00,34.50,33.00,34.00,36.00,37.00,29.00,29.84,25.50,31.00,33.00
Easy,LLaVA OneVision,7B,31.50,32.66,32.50,35.50,30.00,29.34,30.00,34.00,24.00,32.50,31.50,33.00,33.00
Easy,Qwen2.5 VL,32B,47.84,50.50,46.00,53.00,52.50,46.00,43.00,46.00,49.00,47.00,43.50,52.00,45.50
Easy,Qwen2.5 VL,7B,40.28,42.33,41.50,30.00,55.50,37.00,40.00,29.00,42.00,41.50,44.50,29.00,51.00
Easy,Qwen2.5 VL,3B,42.84,46.33,37.00,53.50,48.50,38.67,40.00,44.00,32.00,43.50,38.00,52.00,40.50
