Difficulty,Models,Size,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9
Hard,GPT 4o,-,22.10,28.20,38.46,26.92,19.23,16.00,18.00,18.00,12.00
Hard,Gemini 1.5 pro 🥇,-,26.02,26.92,23.08,30.77,26.92,25.11,34.00,20.93,20.41
Hard,InternVL2.5,26B,22.54,23.08,15.38,19.23,34.62,22.00,18.00,28.00,20.00
Hard,InternVL2.5,8B,21.90,21.79,7.69,26.92,30.77,22.00,16.00,28.00,22.00
Hard,InternVL2.5,4B,20.92,20.51,19.23,19.23,23.08,21.33,16.00,26.00,22.00
Hard,LLaVA Next,32B,14.39,11.54,7.69,19.23,7.69,15.33,8.0,30.0,8.0
Hard,LLaVA Video,7B,14.00,16.67,15.38,23.08,11.54,11.33,8.00,20.00,6.00
Hard,LLaVA OneVision,7B,15.67,16.67,11.54,26.92,11.54,14.67,8.00,28.00,8.00
Hard,Qwen2.5 VL,32B,13.39,14.10,7.69,23.08,11.54,12.67,8.0,24.0,6.0
Hard,Qwen2.5 VL,7B,14.67,16.67,7.69,30.77,11.54,12.67,6.00,24.00,8.00
Hard,Qwen2.5 VL,3B,14.34,16.67,15.38,19.23,15.38,12.00,12.00,22.00,2.00
Hard,,,,,,,,,,,
Medium,GPT 4o,-,38.49,42.31,50.00,53.85,23.08,34.67,36.00,48.00,20.00
Medium,Gemini 1.5 pro 🥇,-,46.31,53.84,46.15,65.38,50.00,38.78,34.00,49.02,33.33
Medium,InternVL2.5,26B,41.77,44.87,30.77,57.69,46.15,38.67,24.00,62.00,30.00
Medium,InternVL2.5,8B,41.08,46.15,34.62,61.54,42.31,36.00,34.00,60.00,14.00
Medium,InternVL2.5,4B,44.36,48.72,23.08,65.38,57.69,40.00,28.00,60.00,32.00
Medium,LLaVA Next,32B,20.88,23.08,11.54,38.46,19.23,18.67,10.00,30.00,16.00
Medium,LLaVA Video,7B,21.92,20.51,19.23,26.92,15.38,23.33,20.00,30.00,20.00
Medium,LLaVA OneVision,7B,22.54,23.08,19.23,30.77,19.23,22.00,14.00,34.00,18.00
Medium,Qwen2.5 VL,32B,33.31,34.62,19.23,50.00,34.62,32.00,20.00,50.00,26.00
Medium,Qwen2.5 VL,7B,24.08,29.49,19.23,30.77,38.46,18.67,18.00,26.00,12.00
Medium,Qwen2.5 VL,3B,28.08,29.49,23.08,53.85,11.54,26.67,18.00,44.00,18.00
Medium,,,,,,,,,,,
Easy,GPT 4o,-,50.51,57.69,57.69,50.00,65.38,43.33,66.00,34.00,30.00
Easy,Gemini 1.5 pro,-,50.69,52.56,42.31,61.54,53.85,48.81,50.00,46.43,50.00
Easy,InternVL2.5 🥇,26B,55.05,64.10,65.38,57.69,69.23,46.00,50.00,50.00,38.00
Easy,InternVL2.5,8B,53.47,60.26,69.23,46.15,65.38,46.67,46.00,54.00,40.00
Easy,InternVL2.5,4B,53.87,56.41,53.85,57.69,57.69,51.33,52.00,56.00,46.00
Easy,LLaVA Next,32B,35.59,37.18,26.92,53.85,30.77,34.00,30.00,38.00,34.00
Easy,LLaVA Video,7B,31.03,32.05,30.77,34.62,30.77,30.00,22.00,38.00,30.00
Easy,LLaVA OneVision,7B,33.00,33.33,34.62,34.62,30.77,32.67,28.00,38.00,32.00
Easy,Qwen2.5 VL,32B,52.77,61.54,53.85,61.54,69.23,44.00,40.00,54.00,38.00
Easy,Qwen2.5 VL,7B,31.31,34.62,38.46,19.23,46.15,28.00,36.00,22.00,26.00
Easy,Qwen2.5 VL,3B,40.21,39.74,34.62,46.15,38.46,40.67,34.00,48.00,40.00
